,id,conversation_id,created_at,date,tweet,language,hashtags,user_id,username,name,day,hour,link,urls,photos,video,retweet,nlikes,nreplies,nretweets,reply_to,time,vader_neg,vader_neu,vader_pos,vader_compound
33,1334667810073575425,1334667810073575425,1607044577000.0,2020-12-04,Budget allocations for 11 ministries passed at committee level   https://t.co/WKFVwhCAlf  #DewanRakyat  #Budget2021 #Belanjawan2021  #BernamaBudget21  https://t.co/tfXCuwJ7aO,en,"['dewanrakyat', 'budget2021', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,5,1,https://twitter.com/bernamadotcom/status/1334667810073575425,['https://www.bernama.com/en/general/news.php?id=1908519'],['https://pbs.twimg.com/media/EoWxKqLUwAILZVn.jpg'],1,False,5,0,1,[],01:16:17,0.0,1.0,0.0,0.0
41,1334098540419694592,1334098540419694592,1606908853000.0,2020-12-02,"Budget 2021 approval at policy stage proves govt listens to voice of people, MPs   @tzafrul_aziz @MOFmalaysia @MYParlimen @BSNMalaysia #Budget2021 #BudgetDay #Belanjawan2021 #BernamaBudget21   https://t.co/iURSGC5URz  https://t.co/2v68EECzi3",en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,3,11,https://twitter.com/bernamadotcom/status/1334098540419694592,['https://www.bernama.com/en/business/news.php?id=1907844#.X8d6-dmcLG4.twitter'],['https://pbs.twimg.com/media/EoOq3cBVQAABjkD.jpg'],1,False,0,0,1,[],11:34:13,0.0,0.881,0.119,0.4767
180,1331921034832867329,1331920850530959362,1606389695000.0,2020-11-26,Agong - #Belanjawan2021 [3/3]  https://t.co/WcvMw1y69R,en,['belanjawan2021'],106669711,bernamadotcom,BERNAMA,4,11,https://twitter.com/bernamadotcom/status/1331921034832867329,[],['https://pbs.twimg.com/media/EnvvHV3VkAAmzqm.jpg'],1,False,21,0,5,[],11:21:35,0.0,1.0,0.0,0.0
181,1331920966105010176,1331920850530959362,1606389678000.0,2020-11-26,Agong - #Belanjawan2021 [2/3]  https://t.co/PdeR15UvE9,en,['belanjawan2021'],106669711,bernamadotcom,BERNAMA,4,11,https://twitter.com/bernamadotcom/status/1331920966105010176,[],['https://pbs.twimg.com/media/EnvvBGdUcAAyUzQ.jpg'],1,False,18,2,5,[],11:21:18,0.0,1.0,0.0,0.0
182,1331920850530959362,1331920850530959362,1606389651000.0,2020-11-26,Agong - #Belanjawan2021 [1/3]  https://t.co/oazIOofXI5,en,['belanjawan2021'],106669711,bernamadotcom,BERNAMA,4,11,https://twitter.com/bernamadotcom/status/1331920850530959362,[],['https://pbs.twimg.com/media/Envu6s0VgAI2bv_.jpg'],1,False,45,2,14,[],11:20:51,0.0,1.0,0.0,0.0
456,1331843120925798401,1331843120925798401,1606371119000.0,2020-11-26,"Get the full and complete breakdown of #Budget2021, here:   https://t.co/TzRp70mOqQ  #Belanjawan2021 #KitaTeguhKitaMenang  https://t.co/UL2ZWBrEEB",en,"['budget2021', 'belanjawan2021', 'kitateguhkitamenang']",22594051,staronline,The Star,4,6,https://twitter.com/staronline/status/1331843120925798401,['https://facebook.com/media/set/?set=a.10157017190367255&type=3'],['https://pbs.twimg.com/media/EnuoMIwVcAI5Bff.jpg'],1,False,9,0,7,[],06:11:59,0.0,1.0,0.0,0.0
459,1331841023648141312,1331841023648141312,1606370619000.0,2020-11-26,Malaysians from all walks of life on #Budget2021.  #belanjawan2021 #KitaTeguhKitaMenang  Read more at  https://t.co/GYwmcce7Tw  https://t.co/ZmXy84Cngl,en,"['budget2021', 'belanjawan2021', 'kitateguhkitamenang']",22594051,staronline,The Star,4,6,https://twitter.com/staronline/status/1331841023648141312,['https://www.thestar.com.my/news/nation/2020/11/22/govt-initiatives-in-budget-2021-get-the-thumbs-up'],"['https://pbs.twimg.com/media/EnumWadWEAAveqF.jpg', 'https://pbs.twimg.com/media/EnumWcCW4AIYZqx.jpg']",1,False,18,9,12,[],06:03:39,0.0,1.0,0.0,0.0
499,1331751673736269831,1331751673736269831,1606349316000.0,2020-11-26,Parliament; Will the Mps vote for Budget 2021 today?    https://t.co/k4Y59NhFeL   #Budget2021 #BudgetDay #Belanjawan2021 #BernamaBudget21  https://t.co/3xPKo4pzA0,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,4,0,https://twitter.com/bernamadotcom/status/1331751673736269831,['https://www.bernama.com/en/news.php?id=1905494#.X77xg3zbELI.twitter'],['https://pbs.twimg.com/media/EntU7mAUcAAzybK.jpg'],1,False,8,2,3,[],00:08:36,0.0,1.0,0.0,0.0
535,1331152827029225472,1331152827029225472,1606206540000.0,2020-11-24,Evaluate Budget 2021 to gauge govt's determination in championing vulnerable groups - Tengku Zafrul   https://t.co/jKJySIwTg4  @tzafrul_aziz @MOFmalaysia  #Budget2021  #Belanjawan2021 #BernamaBudget21  https://t.co/T701KM3Bv4,en,"['budget2021', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,2,8,https://twitter.com/bernamadotcom/status/1331152827029225472,['https://www.bernama.com/en/business/news.php?id=1904743'],['https://pbs.twimg.com/media/Enk0KOsVQAAXpZ5.jpg'],1,False,7,0,2,[],08:29:00,0.078,0.697,0.225,0.5574
551,1330773302663553026,1330773302663553026,1606116054000.0,2020-11-23,Only 20 pct of budget can be spent if Budget 2021 not approved   https://t.co/he4mgt94j3  #Budget2021 #BudgetDay #Belanjawan2021 #BernamaBudget21  https://t.co/ws2VB2IGsV,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,1,7,https://twitter.com/bernamadotcom/status/1330773302663553026,['https://www.bernama.com/en/news.php?id=1904231'],['https://pbs.twimg.com/media/EnfbJoTVEAYRNkh.jpg'],1,False,6,2,1,[],07:20:54,0.115,0.885,0.0,-0.3252
566,1330538560751955969,1330538560751955969,1606060087000.0,2020-11-22,Budget 2021: Debate can be extended to reach agreement - Constitutional expert   https://t.co/0e6cMp4VIt  #Budget2021 #BudgetDay #Belanjawan2021 #BernamaBudget21  https://t.co/tmXzJDnYyU,en,"['budget2021', 'budgetday', 'belanjawan2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,7,15,https://twitter.com/bernamadotcom/status/1330538560751955969,['https://www.bernama.com/en/general/news.php?id=1904081'],['https://pbs.twimg.com/media/EncFiKIXUAU4_dk.jpg'],1,False,6,0,2,[],15:48:07,0.0,0.777,0.223,0.5106
611,1328603759975522304,1328603759975522304,1605598795000.0,2020-11-17,Country will see government shutdown if budget not approved - Constitutional Expert   #Budget2021 #Belanjawan2021 #government #shutdown  https://t.co/IMzUvRfVDj,en,"['budget2021', 'belanjawan2021', 'government', 'shutdown']",293590755,TMReserve,TheMalaysianReserve,2,7,https://twitter.com/TMReserve/status/1328603759975522304,['https://themalaysianreserve.com/2020/11/17/country-will-see-government-shutdown-if-budget-not-approved-constitutional-expert/'],[],0,False,0,0,0,[],07:39:55,0.135,0.865,0.0,-0.3252
621,1328528963577081857,1328528963577081857,1605580962000.0,2020-11-17,Sabah and Sarawak call for more allocation in Budget 2021   #TMRNews #Sabah #Sarawak #Budget2021 #Belanjawan2021   https://t.co/wIQjAHcPIC,en,"['tmrnews', 'sabah', 'sarawak', 'budget2021', 'belanjawan2021']",293590755,TMReserve,TheMalaysianReserve,2,2,https://twitter.com/TMReserve/status/1328528963577081857,['https://themalaysianreserve.com/2020/11/17/sabah-and-sarawak-call-for-more-allocation-in-budget-2021/'],[],0,False,0,0,0,[],02:42:42,0.0,1.0,0.0,0.0
643,1328149775015821312,1328149775015821312,1605490556000.0,2020-11-16,Anwar: Budget 2021 still needs review   #TMRNews #TMRPhoto #Budget2021 #Belanjawan2021   https://t.co/q5q3bkJ0GO,en,"['tmrnews', 'tmrphoto', 'budget2021', 'belanjawan2021']",293590755,TMReserve,TheMalaysianReserve,1,1,https://twitter.com/TMReserve/status/1328149775015821312,['https://themalaysianreserve.com/2020/11/16/anwar-budget-2021-still-needs-review/'],[],0,False,0,0,1,[],01:35:56,0.0,1.0,0.0,0.0
661,1327812780716556288,1327812780716556288,1605410211000.0,2020-11-15,All eyes on the passing of Budget 2021   https://t.co/GcRS4rF9kP  #Belanjawan2021 #Budget2021 #BernamaBudget21  https://t.co/RC30Nvd70f,en,"['belanjawan2021', 'budget2021', 'bernamabudget21']",106669711,bernamadotcom,BERNAMA,7,3,https://twitter.com/bernamadotcom/status/1327812780716556288,['https://www.bernama.com/en/business/news.php?id=1901376'],['https://pbs.twimg.com/media/Em1WY1AUwAAiurx.jpg'],1,False,3,0,1,[],03:16:51,0.0,1.0,0.0,0.0
701,1327113800756064257,1327113800756064257,1605243561000.0,2020-11-13,A meaningful and thoughtful Budget 2021   #Budget2021 #Belanjawan2021 #LetterToTheEditor #Opinion #TMRNews #TMRPhoto   https://t.co/aAmkoP6t8H,en,"['budget2021', 'belanjawan2021', 'lettertotheeditor', 'opinion', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,5,4,https://twitter.com/TMReserve/status/1327113800756064257,['https://themalaysianreserve.com/2020/11/13/a-meaningful-and-thoughtful-budget-2021/'],[],0,False,0,0,0,[],04:59:21,0.0,0.671,0.329,0.5994
708,1327062018440916994,1327062018440916994,1605231215000.0,2020-11-13,Dr M questions rise in budget for some   #Budget2021 #Belanjawan2021 #TMRNews #TMRPhoto   https://t.co/EE3qURAbtI,en,"['budget2021', 'belanjawan2021', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,5,1,https://twitter.com/TMReserve/status/1327062018440916994,['https://themalaysianreserve.com/2020/11/13/dr-m-questions-rise-in-budget-for-some/'],[],0,False,0,0,0,[],01:33:35,0.0,1.0,0.0,0.0
728,1326715108865667073,1326715108865667073,1605148505000.0,2020-11-12,"SPNB confident of building 3,000 units of Rumah Mesra Rakyat   #TMRNews #TMRPhoto #SPNB #RumahMesraRakyat #Budget2021 #Belanjawan2021 #property #PR1MA #RTO   https://t.co/SsXmkvbBR2",en,"['tmrnews', 'tmrphoto', 'spnb', 'rumahmesrarakyat', 'budget2021', 'belanjawan2021', 'property', 'pr1ma', 'rto']",293590755,TMReserve,TheMalaysianReserve,4,2,https://twitter.com/TMReserve/status/1326715108865667073,['https://themalaysianreserve.com/2020/11/12/spnb-confident-of-building-3000-units-of-rumah-mesra-rakyat/'],[],0,False,2,0,0,[],02:35:05,0.0,0.856,0.144,0.4939
729,1326709804279062528,1326709804279062528,1605147241000.0,2020-11-12,"Finance minister or deputies should attend budget debate, urges deputy speaker   #TMRNews #TMRPhoto #DewanRakyat #Budget2021 #Belanjawan2021 #debate #FinanceMinister    https://t.co/8tmSAOTxcb",en,"['tmrnews', 'tmrphoto', 'dewanrakyat', 'budget2021', 'belanjawan2021', 'debate', 'financeminister']",293590755,TMReserve,TheMalaysianReserve,4,2,https://twitter.com/TMReserve/status/1326709804279062528,['https://themalaysianreserve.com/2020/11/12/finance-minister-or-deputies-should-attend-budget-debate-urges-deputy-speaker/'],[],0,False,2,0,2,[],02:14:01,0.0,1.0,0.0,0.0
737,1326478344313958400,1326478344313958400,1605092056000.0,2020-11-11,"#NSTnation While linking the conditional support by #BN to the ancient legend of #PuteriGunungLedang, Ahmad said it was odd for the former prime minister to impose conditions.   https://t.co/okqC4wcivu  #NajibRazak #PAS #BarisanNasional #Budget2021 #Belanjawan2021 #Bajet2021",en,"['nstnation', 'bn', 'puterigunungledang', 'najibrazak', 'pas', 'barisannasional', 'budget2021', 'belanjawan2021', 'bajet2021']",55186601,NST_Online,New Straits Times,3,10,https://twitter.com/NST_Online/status/1326478344313958400,['https://www.nst.com.my/news/politics/2020/11/640294/2021-budget-bns-conditional-support-puteri-gunung-ledangs-demands'],[],0,False,0,2,1,[],10:54:16,0.118,0.812,0.071,-0.2023
744,1326443795831955457,1326443795831955457,1605083819000.0,2020-11-11,Budget 2021: Over RM1m allocated for Kg Baru devt - Annuar   #Budget2021 #Belanjawan2021 #KampungBaru #Redevelopment #TMRNews #TMRPhoto    https://t.co/lkxLXORa4q,en,"['budget2021', 'belanjawan2021', 'kampungbaru', 'redevelopment', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,3,8,https://twitter.com/TMReserve/status/1326443795831955457,['https://themalaysianreserve.com/2020/11/11/budget-2021-over-rm1m-allocated-for-kg-baru-devt-annuar/'],[],0,False,1,0,1,[],08:36:59,0.0,1.0,0.0,0.0
751,1326380387262738435,1326380387262738435,1605068701000.0,2020-11-11,Johoreans are calling for faster and more transparent implementation of the initiatives. #Budget2021 #Belanjawan2021  https://t.co/1KOEwsMULD,en,"['budget2021', 'belanjawan2021']",22594051,staronline,The Star,3,4,https://twitter.com/staronline/status/1326380387262738435,['https://www.thestar.com.my/metro/metro-news/2020/11/11/quick-follow-through-needed'],[],0,False,5,0,1,[],04:25:01,0.0,1.0,0.0,0.0
757,1326338713090056192,1326338713090056192,1605058766000.0,2020-11-11,BN maintains conditional support for Budget 2021   #Budget2021 #Belanjawan2021 #BN #EPF #moratorium  #TMRNews #TMRPhoto   https://t.co/t4PEj4vqdy,en,"['budget2021', 'belanjawan2021', 'bn', 'epf', 'moratorium', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,3,1,https://twitter.com/TMReserve/status/1326338713090056192,['https://themalaysianreserve.com/2020/11/11/bn-maintains-conditional-support-for-budget-2021/'],[],0,False,0,0,0,[],01:39:26,0.0,0.838,0.162,0.4019
758,1326330476794056705,1326330476794056705,1605056802000.0,2020-11-11,Review help for the nation’s economic backbone   #Opinion #Budget2021 #Belanjawan2021 #COVID19  #TMRNews #TMRPhoto   https://t.co/GpNEIuhxm7,en,"['opinion', 'budget2021', 'belanjawan2021', 'covid19', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,3,1,https://twitter.com/TMReserve/status/1326330476794056705,['https://themalaysianreserve.com/2020/11/11/review-help-for-the-nations-economic-backbone/'],[],0,False,1,0,1,[],01:06:42,0.0,0.828,0.172,0.4019
766,1326143744094056450,1326143744094056450,1605012281000.0,2020-11-10,#ICYMI:  OppositIon leader DS @anwaribrahim said the support for Budget 2021 is not unconditional as there are various issues surrounding the government’s financial plan  Read more:  https://t.co/9RWfvbnx8j  #Budget2021 #Belanjawan2021 #TMRNews #TMRPhoto  https://t.co/EOqPA8SUbK,en,"['icymi', 'budget2021', 'belanjawan2021', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,2,12,https://twitter.com/TMReserve/status/1326143744094056450,['https://themalaysianreserve.com/2020/11/10/anwar-support-for-budget-2021-not-unconditional/'],['https://pbs.twimg.com/media/EmdotCdVoAMoti4.jpg'],1,False,3,0,0,[],12:44:41,0.0,0.92,0.08,0.4019
768,1326140049096781824,1326140049096781824,1605011400000.0,2020-11-10,"#ICYMI: BUDGET 2021 falls short of addressing labour and job creation issues amid the increasing number of unemployment this year, experts said.  Read more:  https://t.co/7fpNLwIjak  #Budget2021 #Belanjawan2021 #unemployment #TMRNews #TMRPhoto  https://t.co/W2Y0S5Sb61",en,"['icymi', 'budget2021', 'belanjawan2021', 'unemployment', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,2,12,https://twitter.com/TMReserve/status/1326140049096781824,['https://themalaysianreserve.com/2020/11/10/labour-issues-job-creations-not-adequately-addressed/'],['https://pbs.twimg.com/media/EmdfAYtVkAAAOYm.jpg'],1,False,0,0,0,[],12:30:00,0.085,0.816,0.099,-0.128
778,1326030748034371584,1326030748034371584,1604985341000.0,2020-11-10,"JUST IN: Conditional support for Budget 2021 from BN, says @NajibRazak   #Budget2021 #Belanjawan2021 #TMRNews #TMRPhoto   https://t.co/6eokIyWrCd",en,"['budget2021', 'belanjawan2021', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,2,5,https://twitter.com/TMReserve/status/1326030748034371584,['https://themalaysianreserve.com/2020/11/10/conditional-support-for-budget-2021-from-bn/'],[],0,False,2,1,3,[],05:15:41,0.0,0.847,0.153,0.4019
783,1326016374699823104,1326016374699823104,1604981914000.0,2020-11-10,Arts and culture need more assistance  #Budget2021 #Belanjawan2021 #TMRNews #TMRPhoto    https://t.co/cRJ9aHt8zt,en,"['budget2021', 'belanjawan2021', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,2,4,https://twitter.com/TMReserve/status/1326016374699823104,['https://themalaysianreserve.com/2020/11/10/arts-and-culture-need-more-assistance/'],[],0,False,0,0,1,[],04:18:34,0.0,1.0,0.0,0.0
791,1325983006088065024,1325983006088065024,1604973958000.0,2020-11-10,Dr M cautions ballooning debt on Budget 2021   #Budget2021  #Belanjawan2021  #TMRNews #TMRPhoto   https://t.co/G0M1iyG1hb,en,"['budget2021', 'belanjawan2021', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,2,2,https://twitter.com/TMReserve/status/1325983006088065024,['https://themalaysianreserve.com/2020/11/10/dr-m-cautions-ballooning-debt-on-budget-2021/'],[],0,False,1,0,1,[],02:05:58,0.185,0.815,0.0,-0.3612
793,1325968942758686720,1325968942758686720,1604970605000.0,2020-11-10,"Labour issues, job creations not adequately addressed  #Budget2021  #Belanjawan2021  #JanaKerja #employment  #TMRNews #TMRPhoto    https://t.co/7fpNLwIjak",en,"['budget2021', 'belanjawan2021', 'janakerja', 'employment', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,2,1,https://twitter.com/TMReserve/status/1325968942758686720,['https://themalaysianreserve.com/2020/11/10/labour-issues-job-creations-not-adequately-addressed/'],[],0,False,2,0,4,[],01:10:05,0.0,0.833,0.167,0.3818
794,1325967639156465664,1325967639156465664,1604970295000.0,2020-11-10,Anwar: Support for Budget 2021 not unconditional  #Budget2021 #Belanjawan2021 #TMRNews #TMRPhoto   https://t.co/9RWfvbnx8j,en,"['budget2021', 'belanjawan2021', 'tmrnews', 'tmrphoto']",293590755,TMReserve,TheMalaysianReserve,2,1,https://twitter.com/TMReserve/status/1325967639156465664,['https://themalaysianreserve.com/2020/11/10/anwar-support-for-budget-2021-not-unconditional/'],[],0,False,2,0,1,[],01:04:55,0.0,0.803,0.197,0.4019
810,1325846224990138368,1325846224990138368,1604941347000.0,2020-11-09,"#NSTopinion With an outlay of over RM322 billion, the budget promises to stem the downward spiral of the economy and help it recover handsomely by 7.5 per cent next year.    https://t.co/zQSk2oGYBw  #NSTbudget2021  #Budget2021 #Belanjawan2021 #Bajet2021",en,"['nstopinion', 'nstbudget2021', 'budget2021', 'belanjawan2021', 'bajet2021']",55186601,NST_Online,New Straits Times,1,17,https://twitter.com/NST_Online/status/1325846224990138368,['https://www.nst.com.my/opinion/columnists/2020/11/639742/budget-boosts-competitiveness'],[],0,False,6,0,2,[],17:02:27,0.0,0.796,0.204,0.802
